Co-ordinates,REZ-W1,REZ-W2,REZ-W3,REZ-NT1,REZ-NT2,REZ-NT3,REZ-N1,REZ-N2,REZ-N3,REZ-N4,REZ-N5,REZ-N6,REZ-N7,REZ-N8,REZ-N9,REZ-Q1,REZ-Q2,REZ-Q3,REZ-Q4,REZ-Q5,REZ-Q6,REZ-Q7,REZ-Q8,REZ-S1,REZ-S2,REZ-S3,REZ-S4,REZ-S5,REZ-S6,REZ-S7,REZ-S8,REZ-S9,REZ-T1,REZ-T2,REZ-T3,REZ-V1,REZ-V2,REZ-V3,REZ-V4,REZ-V5,REZ-V6
Location,"Geraldton, WA","Ashburton, WA","Port Hedland, WA","Baines, NT","McArthur, NT","Tennant Creek, NT",North West NSW,New England,Central West NSW,Southern NSW Tablelands,"Broken Hill, NSW",South West NSW,"Wagga Wagga, NSW","Tumut, NSW","Cooma Monaro, NSW",Far North QLD,Clean Energy Hub North QLD,Northern QLD,"Isaac, QLD","Barcaldine, QLD","Fitzroy, QLD","Wide Bay, QLD","Darling Downs, QLD","South East, SA","Riverland, SA",Mid North SA,Yorke Peninsula SA,Northern SA,"Leigh Creek, SA",Roxby Downs SA,"Eastern Eyre Peninsula, SA","Western Eyre Peninsula, SA",North East Tasmania,North West Tasmania,Tasmania Midlands,"Ovens Murray, VIC","Murray River, VIC",Western VIC,"Moyne, VIC","Gippsland, VIC",Central North VIC
1/01/2019 9:30,0.354375,0.065474,0.0972,0.685096,0.01911,0.00099,0.147075,0.090579,0.427284,0.2866645,0.040209,0.008072,0.0391665,0.4803855,0.1432545,0.2637495,0.8907905,0.7822995,0.7612035,0.8082995,0.517693,0.1784025,0.2358055,0.0271045,0.1977305,0.205265,0.059251,0.0323235,0.3477365,0.2526155,0.121758,0.0648025,0.896354,0.3146115,0.8981715,0.3319165,0.0015965,0.028175,0.002737,0.071688,0.0315875
1/01/2019 10:30,0.311699,0.104124,0.183,0.672879,0.028996,0.008961,0.13197,0.0875265,0.239624,0.267716,0.007146,0.0072,0.009953,0.557634,0.0095375,0.156823,0.88915,0.60198,0.7726945,0.744291,0.421821,0.159627,0.185118,0.0599645,0.1421765,0.084831,0.049853,0.005593,0.133987,0.15674,0.113453,0.0379225,0.8991715,0.4151235,0.899165,0.3584925,0,0.0348405,0.0031645,0.083588,0.00302
1/01/2019 11:30,0.32784,0.166347,0.2602,0.62749,0.048204,0.058408,0.087458,0.11072,0.1449185,0.1714675,0.0030875,0.0156,0.0158915,0.5183725,0.0026815,0.069841,0.8887345,0.378046,0.8232575,0.655164,0.3449175,0.1490045,0.1314725,0.0875995,0.104316,0.022211,0.051653,0.005527,0.020152,0.0831645,0.0942975,0.057565,0.8996875,0.5706,0.8996635,0.40531,0,0.0497255,0.014601,0.1015025,0
1/01/2019 12:30,0.364934,0.235451,0.3059,0.532443,0.083479,0.175333,0.052775,0.135706,0.109912,0.132986,0.003978,0.020795,0.0186685,0.3782435,0.0139835,0.0519505,0.8849125,0.3329165,0.83253,0.50403,0.3258715,0.142164,0.1029435,0.1270705,0.0758845,0.006342,0.063024,0.014081,0,0.049879,0.077032,0.1987995,0.899677,0.671753,0.899579,0.331661,0.0011375,0.0947975,0.045235,0.0965175,0.0013185
1/01/2019 13:30,0.441229,0.288722,0.3357,0.40815,0.122415,0.372803,0.02286,0.126302,0.0883005,0.0922685,0.003583,0.012797,0.0205565,0.2816105,0.0411105,0.0859065,0.8693935,0.347042,0.8226345,0.3736565,0.375658,0.1511815,0.097209,0.188822,0.0700455,0.0057085,0.0734625,0.030213,0.0036985,0.0436315,0.102001,0.396869,0.899712,0.7886745,0.898441,0.18504,0.002392,0.1313445,0.0805985,0.0915595,0.00327
1/01/2019 14:30,0.511602,0.33519,0.3606,0.296728,0.153334,0.580866,0.0052385,0.079903,0.06446,0.0734485,0.007496,0.008943,0.029909,0.3200235,0.055018,0.128483,0.827089,0.3844545,0.8184775,0.333354,0.478088,0.2471215,0.110591,0.2187685,0.068112,0.0069975,0.0969205,0.07079,0.02008,0.0596385,0.1410485,0.5657905,0.8997445,0.806815,0.89774,0.082853,0.0042145,0.1329205,0.1203435,0.1123555,0.0065175
1/01/2019 15:30,0.584895,0.373279,0.3761,0.214941,0.168648,0.72143,0.002849,0.0369595,0.0439765,0.0735005,0.01257,0.011141,0.037043,0.3024295,0.044672,0.1444515,0.7949995,0.406439,0.8220695,0.298364,0.5973525,0.4138085,0.147257,0.240752,0.0721035,0.01347,0.14212,0.1642255,0.035831,0.074594,0.169509,0.670402,0.899735,0.7835905,0.899032,0.035673,0.0187125,0.1322095,0.171269,0.1579605,0.020324
1/01/2019 16:30,0.659771,0.384508,0.372,0.198288,0.165977,0.787621,0.0010705,0.0288285,0.0418515,0.0711235,0.039594,0.024761,0.0366865,0.1803555,0.02766,0.1646135,0.7987285,0.403223,0.8097205,0.303962,0.6667675,0.4549485,0.2107705,0.2610405,0.1035315,0.02923,0.1837435,0.352753,0.0486515,0.082093,0.211054,0.685584,0.8996535,0.796233,0.899876,0.0153055,0.051616,0.13312,0.203595,0.217676,0.0379795
1/01/2019 17:30,0.719208,0.383697,0.379,0.273867,0.173094,0.813439,0.0012955,0.0499745,0.057325,0.0882165,0.1077675,0.046555,0.031764,0.106422,0.014546,0.178916,0.7901055,0.441075,0.783846,0.3170675,0.683569,0.433138,0.287813,0.259739,0.2147185,0.052929,0.1901335,0.5793755,0.051811,0.111366,0.2311785,0.7000875,0.8987485,0.775909,0.899834,0.009707,0.1061965,0.1771815,0.204052,0.2678535,0.126885
1/01/2019 18:30,0.741504,0.369218,0.3953,0.471184,0.305145,0.799903,0.021408,0.0608025,0.07692,0.124115,0.204985,0.092439,0.0290285,0.071608,0.0083895,0.177678,0.7863705,0.5633285,0.7731,0.3567,0.6444515,0.495235,0.390047,0.267205,0.383366,0.117699,0.1724275,0.736697,0.0408085,0.1538045,0.2348075,0.721018,0.8895625,0.6524325,0.8992805,0.0053645,0.229413,0.276992,0.1933185,0.258541,0.3705535
